CarParkID,CarParkName_Zh_tw,Spots_ParkingSpotID,Spots_SpaceType,Spots_HasChargingPoint,Spots_Floor
KEE11703,基隆七堵停車場,109002-125,1,0,1
KEE11302,基隆成功站,KEE-08-034,1,0,8
KEE12109,濱海遊憩區停車場,KEE-008,1,0,1
KEE12401,基隆市中和路168巷停車場,KEE-029,1,0,1
KEE12706,光明停二停車場,KEE-032,1,0,1
KEE11307,信義國小地下停車場,251-257,7,0,B1
KEE12203,基隆六合停車場,109002-308,1,0,1
KEE12707,福六街停車場,KEE-030,9,0,1
KEE12705,光明停一停車場,KEE-032,1,0,1
KEE12502,基隆安和停車場,KEE-038,1,0,1
KEE12103,義二路停車場,KEL-001,1,0,1
KEE22410,基隆新橫濱停車場,1-166,1,0,1
KEE11101,信二停車場,6,15,0,1
KEE11104,中正區行政大樓地下停車場,TPE-001,1,0,B1
KEE12111,65高地停車場,KEE-010,1,0,1
KEE11304,銘傳立體停車場,TOWER1,1,0,1
KEE12501,鶯歌石溪停車場,KEE-057,1,0,1
KEE11305,東岸立體停車場,B3-001,1,0,B3
KEE12115,八斗子漁港C區停車場,KEE12115,1,0,1
KEE11303,南榮公墓殯儀館停車場,KEE11303,1,0,1
KEE12110,潮境公園停車場,001,1,0,1
KEE12704,崇孝街停車場,B1-002,2,0,B1
KEE12105,基隆和平島公園停車場,131,1,0,1
KEE12112,南區大客車停車場,001,1,0,1
KEE12601,源遠路停車場,KEL-001,1,0,1
KEE22111,非凡物業管理顧問有限公司和平島停車場,64,1,0,1
KEE12117,基隆社寮橋停車場,1-50,1,0,1
KEE11102,正濱國小收費立體停車場,TPE-001,1,0,1
KEE11201,信義國中停車場,KEL-001,1,1,1
KEE12107,區域探索館平面停車場,001,1,0,1
KEE12114,八斗子觀光漁港停車場,KEE12114,1,0,1
KEE12602,源遠路第二停車場,KEL-001,1,0,1
KEE11106,海洋劇場停車場,001,1,0,1
KEE22112,基隆八尺門停車場,?,1,0,平面
KEE12202,基隆信義停車場,KEL-001,1,0,1
KEE12113,基隆和一停車場,?,1,0,平面
KEE11205,中興國小停車場,KEE11205,1,0,1
KEE12108,復育環保公園停車場,001,1,0,1
37695615,五都停車場高鐵台南站,37695615-033,1,0,1
89050713,平實公園地下停車場,89050713-222,1,0,B1
88864091,成大勝利停車場,88864091-058,1,0,1
54555420,海安地下停車場,54555420-194,1,0,1
81401841,立德停車場,81401841-082,1,0,1
47940383,億載停車場,47940383-014,1,0,1
47911872,崇明E6停車場,47911872-023,1,0,1
85766482-1,南科東側停車場,85766482-01-059,1,0,1
40856918,廣二機車停車場,40856918-277,2,0,1
47862936,公園南路停車場,47862936-279,1,0,1
40814707,東光路地下停車場,40814707-042,1,0,B1
88917506,太子成大勝利(太子會館),88917506-210,1,0,1
81496017,五都停車場台南車寶貝站,81496017-095,1,0,1
81290514,東橋八街停車場,81290514-032,1,0,1
88908324,目加溜灣橋下停車場,88908324-0049,1,0,1
89050973,中華路58巷停車場,89050973-046,1,0,1
47911818,和平公園停車場,47911818-078,1,0,1
89050740,北園公兒停車場,89050740-148,1,0,1
47940406,林默娘停車場,47940406-1-072,1,0,1
10740980,建業停車場,10740980-035,1,0,1
47940378,水景停車場,47940378-008,9,0,1
89050734,大道停6停車場,89050734-047,1,0,1
81319060,富北停車場,81319060-002,1,0,1
47911795,崇明E37停車場,47911795-027,1,0,1
85766482-2,南科西側停車場,85766482-02-116,2,0,1
37709940,五都停車場高鐵台南二站,37709940-047,1,0,1
85567580,興濟二站停車場,85567580-027,1,0,1
37621369,高鐵橋下台南停車場,37621369-127,1,0,1
89050848,運河星鑽停車場,89050848-019,1,0,1
88908204,LM陽光電城停車場,88908204-0075,1,0,1
47927760,關聖里停車場,47927760-044,1,0,1
81368744,東興停車場,81368744-2,1,0,1
89022098,新市富中停車場,89022098-074,9,0,1
89021751,台南府連停車場,89021751-040,1,0,1
88909843,復華一街停車場,89909843-019,9,0,1
85744208,崇善路龍山停車場,85744208-1-054,1,0,1
81319364,水交社停車場,81319364-137,1,0,1
81320382,大學路社E1停車場,tn15-008,1,0,1
88918738,新營和平停車場,88918738-010,1,0,1
81946029,兵仔市停車場,81946029-018,1,0,1
47939674,大學路(社E2)停車場,47939674-2-035,2,0,1
89038628,友愛街機車停車場,89038628-006,2,0,1
47940399-2,港濱停車場 (第二區),47940399-2-014,1,0,1
47862942,西門育賢停車場,47862942-004,1,0,1
81339426,泉南里停車場,81339426-013,1,0,1
85585519,永福停車場,85585519-005,1,0,1
81401856,裕文停車場,81401856-015,1,0,1
88908318,臺鐵南科車站西側(第二區)停車場,88908318-0002,1,0,1
81401820,華平二停車場,81401820-018,7,0,1
88909858,復興停車場,89909858-017,1,0,1
47941279,永華停車場,47941279-012,1,0,1
47931027,北安停車場,47931027-012,1,0,1
81290486,長榮崇明停車場,81290486-014,11,0,1
47940399-1,港濱停車場 (第一區),47940399-1-005,1,0,1
47931011,西華停車場,47931011-003,1,0,1
81305489,民族路停車場,tn16-002,1,0,1
47911839,德光公園停車場,47911839-006,1,0,1
88915991,善化中正停車場,88915991-008,1,0,1
47927776,台南南一停車場,47927776-007,1,0,1
81386285,永康大橋後站停車場,40814707-003,1,0,1
